2024-05-15-05-22: epoch: 1 |loss 4.443555 | hm_loss 1.907668 | wh_loss 3.556631 | off_loss 0.261504 | id_loss 4.960675 | time 1.383333 | 
2024-05-15-05-23: epoch: 2 |loss 2.668020 | hm_loss 1.247673 | wh_loss 1.653639 | off_loss 0.237064 | id_loss 3.564628 | time 1.166667 | 
2024-05-15-05-24: epoch: 3 |loss 2.237497 | hm_loss 1.021501 | wh_loss 1.388064 | off_loss 0.231884 | id_loss 2.900805 | time 1.116667 | 
2024-05-15-05-25: epoch: 4 |loss 2.014275 | hm_loss 0.898466 | wh_loss 1.281646 | off_loss 0.227657 | id_loss 2.473294 | time 1.083333 | 
2024-05-15-05-26: epoch: 5 |loss 1.813890 | hm_loss 0.801656 | wh_loss 1.149625 | off_loss 0.224553 | id_loss 2.128689 | time 1.066667 | 
2024-05-15-05-27: epoch: 6 |loss 1.670914 | hm_loss 0.730224 | wh_loss 1.063480 | off_loss 0.221057 | id_loss 1.878927 | time 1.083333 | 
2024-05-15-05-28: epoch: 7 |loss 1.586257 | hm_loss 0.682579 | wh_loss 1.031800 | off_loss 0.218663 | id_loss 1.691155 | time 1.066667 | 
2024-05-15-05-30: epoch: 8 |loss 1.473220 | hm_loss 0.627082 | wh_loss 0.954526 | off_loss 0.216798 | id_loss 1.520762 | time 1.133333 | 
2024-05-15-05-31: epoch: 9 |loss 1.451902 | hm_loss 0.614520 | wh_loss 0.962066 | off_loss 0.214828 | id_loss 1.415220 | time 1.100000 | 
2024-05-15-05-32: epoch: 10 |loss 1.381162 | hm_loss 0.579172 | wh_loss 0.917290 | off_loss 0.212800 | id_loss 1.305450 | time 1.150000 | 
2024-05-15-05-34: epoch: 11 |loss 1.350973 | hm_loss 0.558424 | wh_loss 0.917073 | off_loss 0.210902 | id_loss 1.231108 | time 1.833333 | 
2024-05-15-05-36: epoch: 12 |loss 1.299240 | hm_loss 0.532150 | wh_loss 0.884877 | off_loss 0.208972 | id_loss 1.156805 | time 1.916667 | 
2024-05-15-05-37: epoch: 13 |loss 1.254487 | hm_loss 0.512616 | wh_loss 0.850695 | off_loss 0.207644 | id_loss 1.088794 | time 1.816667 | 
2024-05-15-05-39: epoch: 14 |loss 1.235399 | hm_loss 0.501342 | wh_loss 0.845132 | off_loss 0.206756 | id_loss 1.047352 | time 1.800000 | 
2024-05-15-05-41: epoch: 15 |loss 1.208418 | hm_loss 0.493499 | wh_loss 0.818434 | off_loss 0.205415 | id_loss 1.002864 | time 1.850000 | 
2024-05-15-05-43: epoch: 16 |loss 1.163386 | hm_loss 0.466153 | wh_loss 0.798527 | off_loss 0.204149 | id_loss 0.938200 | time 1.900000 | 
2024-05-15-05-45: epoch: 17 |loss 1.133367 | hm_loss 0.455378 | wh_loss 0.768298 | off_loss 0.202981 | id_loss 0.908587 | time 1.800000 | 
2024-05-15-05-47: epoch: 18 |loss 1.118536 | hm_loss 0.445061 | wh_loss 0.769744 | off_loss 0.201898 | id_loss 0.867048 | time 1.800000 | 
2024-05-15-05-49: epoch: 19 |loss 1.079943 | hm_loss 0.427318 | wh_loss 0.739354 | off_loss 0.200337 | id_loss 0.826107 | time 1.800000 | 
2024-05-15-05-50: epoch: 20 |loss 1.082157 | hm_loss 0.423975 | wh_loss 0.753241 | off_loss 0.199872 | id_loss 0.816896 | time 1.800000 | 
2024-05-15-05-52: epoch: 21 |loss 0.948786 | hm_loss 0.368621 | wh_loss 0.630879 | off_loss 0.194559 | id_loss 0.701659 | time 1.800000 | 
2024-05-15-05-54: epoch: 22 |loss 0.916310 | hm_loss 0.353510 | wh_loss 0.605353 | off_loss 0.192559 | id_loss 0.675630 | time 1.800000 | 
2024-05-15-05-56: epoch: 23 |loss 0.905534 | hm_loss 0.346623 | wh_loss 0.602301 | off_loss 0.191709 | id_loss 0.660512 | time 1.800000 | 
2024-05-15-05-58: epoch: 24 |loss 0.897309 | hm_loss 0.340840 | wh_loss 0.597934 | off_loss 0.191377 | id_loss 0.661252 | time 1.800000 | 
2024-05-15-06-00: epoch: 25 |loss 0.889482 | hm_loss 0.336545 | wh_loss 0.594100 | off_loss 0.190632 | id_loss 0.652550 | time 1.916667 | 
2024-05-15-06-01: epoch: 26 |loss 0.884085 | hm_loss 0.333815 | wh_loss 0.589275 | off_loss 0.190572 | id_loss 0.650609 | time 1.850000 | 
2024-05-15-06-03: epoch: 27 |loss 0.874358 | hm_loss 0.328947 | wh_loss 0.582501 | off_loss 0.190033 | id_loss 0.641284 | time 1.850000 | 
2024-05-15-06-05: epoch: 28 |loss 0.868500 | hm_loss 0.328263 | wh_loss 0.574932 | off_loss 0.188845 | id_loss 0.639262 | time 1.916667 | 
2024-05-15-06-07: epoch: 29 |loss 0.862938 | hm_loss 0.324149 | wh_loss 0.573859 | off_loss 0.188703 | id_loss 0.631564 | time 1.883333 | 
2024-05-15-06-09: epoch: 30 |loss 0.862373 | hm_loss 0.322652 | wh_loss 0.575810 | off_loss 0.188623 | id_loss 0.631931 | time 1.883333 | 
